"University","city","Rank","institutionalControl","Tuition","S.F.Ratio","perc.alumni","Expend","Grad.Rate","number_Undergrads","Acceptance_rate","Crime_Rate","Unemployment","Cost_of_Living","Median_Income","AVG_C_two_I","1p1c","Diversity_Rank_Race","Crime.Rate"
"Texas Southern University","Houston",348,"public",21443,18.2,21,3605,10,8685,74.6835443,"11/1000",0.0455,61920.01,56116.04,1.1034,0.8543,529,0.011
"University of Denver","Denver",96,"private",54819,15.9,21,11762,67,3220,67.28312038,"42/1000",0.0319,91534.85,90000.27,1.0171,0.7879,3010,0.042
"University of Georgia","Athens",47,"public",31120,14.7,22,7881,63,22301,70.15151515,"24/1000",0.0504,64828.28,64532.94,1.0046,0.7706,2326,0.024
"University of Kansas","Lawrence",124,"public",28034,13.7,17,9657,57,19553,64.82107472,"15/1000",0.037,59135.29,52272.63,1.1313,0.8612,1334,0.015
"University of New Hampshire","Durham",142,"public",37202,17.5,16,7855,75,11696,78.35897436,"36/1000",0.0328,78649.39,83442.97,0.9426,0.7288,2790,0.036
"University of North Dakota","Grand Forks",257,"public",15067,15.9,16,9424,49,9769,80.98667627,"31/1000",0.0192,83376.21,84511.89,0.9866,0.6266,1340,0.031
"University of North Texas","Denton",286,"public",24234,22.6,6,5657,35,19181,61.9511091,"15/1000",0.0331,78565.91,109886.81,0.715,0.5657,3031,0.015
"University of Northern Colorado","Greeley",369,"public",22496,21.5,8,6309,40,9961,72.45931284,"8/1000",0.0153,66898.81,64176.63,1.0424,0.8088,118,0.008
"University of Oklahoma","Norman",134,"public",25116,11.5,11,10244,44,16018,83.70229812,"0",0.0371,65625.71,72255.7,0.9082,0.6916,447,0
"University of Pennsylvania","Philadelphia",7,"private",61710,6.3,38,25765,93,9736,42.2139745,"42/1000",0.0571,78477.67,56599.68,1.3865,1.0316,3098,0.042
"University of San Diego","San Diego",97,"private",52864,15.6,13,10813,66,3915,69.5221149,"22/1000",0.0357,106769,93476.09,1.1422,0.9024,3128,0.022
"University of San Francisco","San Francisco",113,"private",53472,13.6,8,10074,62,4858,74.63139636,"68/1000",0.0262,142391.32,135125.17,1.0538,0.8696,3003,0.068
"University of Southern California","Los Angeles",26,"private",60275,11.4,10,17007,68,14688,69.49055524,"32/1000",0.0517,97766.39,78729.84,1.2418,0.9986,3134,0.032
"University of Texas at Arlington","Arlington",297,"public",29299,21,4,4696,29,19406,77.99451387,"17/1000",0.0212,111099.49,165123.89,0.6728,0.522,2805,0.051
"University of Texas at Austin","Austin",39,"public",40032,19.7,11,7837,65,35206,64.88611714,"15/1000",0.0408,70092.91,80292.66,0.873,0.6841,1299,0.016
"University of Tulsa","Tulsa",146,"private",44838,11.5,10,11743,47,3369,90.94626168,"51/1000",0.0312,72756.91,72560.66,1.0027,0.7242,2762,0.032
"University of Vermont","Burlington",120,"public",43890,9.9,10,12646,79,9027,78.40271434,"16/1000",0.0344,89436.03,108317.83,0.8257,0.6367,2921,0.051
"University of Wyoming","Laramie",200,"public",20647,15.1,13,8745,45,9023,74.71660917,"32/1000",0.0366,81932.74,82057.77,0.9985,0.7032,2221,0.035
"Virginia Commonwealth University","Richmond",177,"public",35676,8.7,11,11183,45,15327,70.46141447,"51/1000",0.0532,64982.4,47920.95,1.356,1.0259,380,0.013
"Western Michigan University","Kalamazoo",275,"public",17591,24.7,11,5983,55,20017,78.4444202,"35/1000",0.0411,72649.45,79515.35,0.9137,0.6582,2916,0.051
"Widener University","Chester",224,"private",49706,12.6,19,9603,63,4357,69.75222066,"13/1000",0.0331,98654.15,125995.66,0.783,0.5915,2959,0.019
"William Woods University","Fulton",387,"private",25930,12.9,16,7438,52,971,92.75053305,"51/1000",0.0328,79612.86,98122.47,0.8114,0.6278,3063,0.027
"Worcester Polytechnic Institute","Worcester",66,"private",55531,15.2,34,10774,82,2888,83.5982659,"19/1000",0.0407,91083.44,98978.84,0.9202,0.7121,3075,NA
"Yale University","New Haven",4,"private",59950,5.8,49,40386,99,5300,22.91452592,"27/1000",0.045,88957.67,92875.39,0.9578,0.7689,3019,NA
